id,FirstName,LastName,Biography,Link
33116,"Herman Oliver",Albright,"German, 1876 - 1944",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33116
45,"Ivan Le Lorraine",Albright,"American, 1897 - 1983",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=45
6496,"Malvin Marr",Albright,"American, 1897 - 1983",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=6496
7198,Edward,Albritton,"American, active c. 1935",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=7198
33117,Maxine,Albro,"American, 1903 - 1966",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33117
14992,"Luis Paret y","Alcázar","Spanish, 1746 - 1799",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=14992
33128,Daisy,Aldan,"American, 1923 - 2001",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33128
2342,Heinrich,Aldegrever,"German, 1502 - 1555/1561",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2342
33118,Adolf,Aldrich,"American, born 1916",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33118
11387,Jacques,Aleaume,"French, died probably 1627",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=11387
2883,Pierre,Alechinsky,"Belgian, born 1927",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2883
33129,Doris,Alexander,"American, 1906 - 1995",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33129
22257,Dorothy,Alexander,"Canadian, active 20th century",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=22257
7199,Eleanor,Alexander,"American, active c. 1935",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=7199
2343,"Esther Frances",Alexander,"American, 1837 - 1917",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2343
2343,Francesca,Alexander,"American, 1837 - 1917",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2343
53,Francis,Alexander,"American, 1800 - 1880",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=53
7200,"George H.",Alexander,"American, active c. 1935",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7200
8253,"Harry G.",Alexander,"American, active c. 1935",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=8253
10981,William,Alexander,"British, 1767 - 1816",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=10981
2001,Alessandro,Algardi,"Italian, 1598 - 1654",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2001
2885,Jacques,Aliamet,"French, 1726 - 1788",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2885
34370,"François",Alix,"French, 1753 - 1794",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=34370
2886,Pierre-Michel,Alix,"French, 1762 - 1817",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2886
5476,Samuel,Alken,"British, 1756 - 1815",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5476
2887,Angelique,Allais,"French, active 18th century",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2887
36895,William,Allan,"Scottish, 1782 - 1850",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=36895
28961,Carel,Allard,"Netherlandish, 1648 - 1709",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=28961
2888,Celestin,Allard-Cambray,"French, active 19th century",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2888
36550,Allardet,"","French? 18th century",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=36550
5525,"Allegretto di Nuzi","","Italian, c. 1315 - 1373",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5525
5525,"Allegretto Nuzi","","Italian, c. 1315 - 1373",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5525
1170,Antonio,Allegri,"Italian, 1489/1494 - 1534",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=1170
